mobile_operating_system_version_id,platform_name,major_version,minor_version,micro_version
630002,iOS,2,0,0
630005,iOS,2,0,1
630008,iOS,2,0,2
630011,iOS,2,1,0
630014,iOS,2,1,1
630017,iOS,2,2,0
630020,iOS,2,2,1
630023,iOS,3,0,0
630026,iOS,3,0,1
630029,iOS,3,1,0
630032,iOS,3,1,1
630035,iOS,3,1,2
630038,iOS,3,1,3
630044,iOS,4,0,0
630047,iOS,3,2,0
630050,Android,0,5,0
630053,Android,1,0,0
630056,Android,1,1,0
630059,Android,1,5,0
630062,Android,1,6,0
630065,Android,2,0,0
630068,Android,2,1,0
630071,Android,2,2,0
630074,Windows95,0,0,0
630076,Windows95,-1,-1,-1
630078,Windows98,0,0,0
630080,Windows98,-1,-1,-1
630082,WindowsNT,3,1,0
630085,WindowsNT,3,5,0
630088,WindowsNT,4,0,0
630090,WindowsNT,3,-1,-1
630091,WindowsNT,4,-1,-1
630092,WindowsNT,-1,-1,-1
630094,Windows2000,0,0,0
630096,Windows2000,-1,-1,-1
630098,WindowsXP,0,0,0
630100,WindowsXP,-1,-1,-1
630102,WindowsVista,0,0,0
630104,WindowsVista,-1,-1,-1
630106,Windows7,0,0,0
630108,Windows7,-1,-1,-1
630110,MacOS,9,0,0
630113,MacOS,9,1,0
630116,MacOS,9,2,0
630118,MacOS,9,-1,-1
630120,MacOS,10,0,0
630123,MacOS,10,1,0
630126,MacOS,10,2,0
630129,MacOS,10,3,0
630132,MacOS,10,4,0
630135,MacOS,10,5,0
630138,MacOS,10,6,0
630141,MacOS,10,7,0
630143,MacOS,10,-1,-1
630144,MacOS,-1,-1,-1
630146,Linux,0,0,0
630148,Linux,-1,-1,-1
630149,Other,-1,-1,-1
630153,iOS,-1,-1,-1
630159,Android,-1,-1,-1
630160,PalmWebOS,-1,-1,-1
630162,iOS,2,0,-1
630164,iOS,2,1,-1
630166,iOS,2,2,-1
630168,iOS,3,0,-1
630170,iOS,3,1,-1
630172,iOS,3,2,-1
630174,iOS,4,0,-1
630176,Android,0,5,-1
630178,Android,1,0,-1
630180,Android,1,1,-1
630182,Android,1,5,-1
630184,Android,1,6,-1
630186,Android,2,0,-1
630188,Android,2,1,-1
630190,Android,2,2,-1
630191,Desktop,-1,-1,-1
630192,MobileAndTablet,-1,-1,-1
630193,WindowsPhone7,-1,-1,-1
630195,WindowsPhone7,7,0,-1
630197,WindowsPhone7,7,1,-1
630199,WindowsPhone7,7,5,-1
630201,PalmWebOS,1,0,-1
630203,PalmWebOS,1,1,-1
630205,PalmWebOS,1,2,-1
630207,PalmWebOS,1,3,-1
630209,PalmWebOS,1,4,-1
630211,PalmWebOS,2,0,-1
630213,PalmWebOS,2,1,-1
630215,PalmWebOS,2,2,-1
630217,PalmWebOS,2,3,-1
630219,PalmWebOS,3,0,-1
630221,Android,2,3,-1
630223,Android,3,0,-1
630225,Android,3,1,-1
630227,Android,3,2,-1
630229,iOS,4,1,-1
630231,iOS,4,2,-1
630233,iOS,4,3,-1
630235,iOS,5,0,-1
630237,Android,4,0,-1
630239,iOS,5,1,-1
630241,Android,2,0,1
630243,Android,2,3,0
630245,Android,2,3,3
630247,Android,3,2,0
630249,Android,4,0,0
630251,Android,4,0,3
630252,BlackBerry,-1,-1,-1
630254,BlackBerry,6,0,-1
630256,BlackBerry,7,0,-1
630258,Android,4,1,-1
630260,MacOS,10,8,0
630262,Windows8,0,0,0
630263,Windows8,-1,-1,-1
630265,iOS,6,0,-1
630266,WindowsPhone,-1,-1,-1
630268,WindowsPhone,7,0,-1
630270,WindowsPhone,8,0,-1
630272,Android,4,2,-1
630274,iOS,6,1,-1
630276,iOS,7,0,-1
630278,Android,4,3,-1
630280,Android,4,4,-1
630282,MacOS,10,9,0
630284,iOS,7,1,-1
630286,iOS,8,0,-1
630288,Android,5,0,-1
630290,iOS,8,1,-1
630292,MacOS,10,10,0
630294,WindowsPhone,8,1,-1
630296,iOS,8,2,-1
630298,Android,5,1,-1
630300,Android,5,2,-1
630302,iOS,8,3,-1
630304,iOS,9,0,-1
630306,iOS,8,4,-1
630308,iOS,9,1,-1
630310,Android,6,0,-1
630312,iOS,9,2,-1
630314,MacOS,10,11,0
630316,Windows10,0,0,0
630317,Windows10,-1,-1,-1
630319,iOS,9,3,-1
